,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,availability_30,availability_90,number_of_reviews,latitude,longitude,property_type,room_type,neighbourhood_cleansed,minimum_nights,maximum_nights
3448,0.0,1.0,2.0,Real Bed,62.0,68.0,23,80,123,42.35686087378934,-71.13057789827435,Apartment,Private room,Allston,2,14
3449,1.0,1.0,1.0,Real Bed,95.0,15.0,0,0,80,42.35284213595951,-71.12815277256124,Apartment,Private room,Allston,1,1125
3450,1.5,1.0,1.0,Real Bed,20.0,50.0,30,90,1,42.35614366171549,-71.13712072817228,House,Private room,Allston,1,364
3451,2.0,1.0,1.0,Real Bed,70.0,35.0,3,53,35,42.359025502967896,-71.13065800463156,House,Private room,Allston,1,1125
3452,1.0,1.0,2.0,Real Bed,125.0,68.0,7,64,3,42.34954020442542,-71.1311172738734,Apartment,Entire home/apt,Allston,1,1125
3453,1.0,1.0,1.0,Real Bed,150.0,68.0,0,0,1,42.34951254083382,-71.13427352193531,Apartment,Entire home/apt,Allston,2,10
3454,1.0,0.0,1.0,Pull-out Sofa,150.0,15.0,8,8,4,42.35122488041426,-71.13161808935436,Apartment,Entire home/apt,Allston,1,1125
3455,1.0,1.0,1.0,Real Bed,70.0,20.0,7,16,121,42.35073175722308,-71.12771611318988,Apartment,Private room,Allston,1,10
3456,1.0,0.0,1.0,Futon,95.0,68.0,10,67,6,42.3498136615265,-71.13208534640165,Apartment,Entire home/apt,Allston,1,1125
3457,2.0,3.0,3.0,Real Bed,239.0,95.0,0,0,4,42.34989452075197,-71.1299221016894,Apartment,Entire home/apt,Allston,3,1125
3458,2.0,2.0,2.0,Real Bed,199.0,95.0,0,0,0,42.362750082466015,-71.1297622550589,Apartment,Entire home/apt,Allston,3,1125
3459,1.0,1.0,1.0,Real Bed,33.0,68.0,0,0,16,42.361276339935394,-71.12395963235808,House,Private room,Allston,6,1125
3460,0.5,1.0,1.0,Real Bed,40.0,50.0,0,0,2,42.35003054156228,-71.12729131304908,Apartment,Private room,Allston,5,1125
3461,1.0,1.0,1.0,Real Bed,89.0,30.0,2,59,7,42.359420516492605,-71.12733180344243,Apartment,Private room,Allston,2,90
3462,1.0,1.0,1.0,Real Bed,100.0,75.0,0,21,5,42.3516876130946,-71.13383981344633,Apartment,Entire home/apt,Allston,2,45
3463,1.0,1.0,5.0,Real Bed,80.0,120.0,17,72,11,42.3548188562803,-71.12599193778208,Apartment,Entire home/apt,Allston,3,1125
3464,1.5,1.0,1.0,Real Bed,58.0,50.0,30,90,1,42.35659961401221,-71.13718050963799,Apartment,Private room,Allston,1,1125
3465,1.0,1.0,1.0,Real Bed,85.0,68.0,0,0,0,42.35145625199263,-71.12634005954234,Apartment,Private room,Allston,1,1125
3466,1.0,1.0,1.0,Real Bed,45.0,68.0,0,0,1,42.34901654982248,-71.13615119608934,Apartment,Private room,Allston,1,1125
3467,1.0,1.0,1.0,Real Bed,127.0,20.0,5,45,16,42.35155057502137,-71.12770693194058,Apartment,Entire home/apt,Allston,1,1125
